image_path,scene_label,timestamp
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (1).jpg,accident,2025-06-25T20:36:00.951218
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (10).jpg,accident,2025-06-25T20:36:00.951271
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (100).jpg,accident,2025-06-25T20:36:00.951283
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (101).jpg,accident,2025-06-25T20:36:00.951293
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (102).jpg,accident,2025-06-25T20:36:00.951302
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (103).jpg,accident,2025-06-25T20:36:00.951311
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (104).jpg,accident,2025-06-25T20:36:00.951321
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (105).jpg,accident,2025-06-25T20:36:00.951330
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (106).jpg,accident,2025-06-25T20:36:00.951340
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (107).jpg,accident,2025-06-25T20:36:00.951349
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (108).jpg,accident,2025-06-25T20:36:00.951359
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (109).jpg,accident,2025-06-25T20:36:00.951368
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (11).jpg,accident,2025-06-25T20:36:00.951494
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (110).jpg,accident,2025-06-25T20:36:00.951511
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (111).jpg,accident,2025-06-25T20:36:00.951521
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (112).jpg,accident,2025-06-25T20:36:00.951530
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (113).jpg,accident,2025-06-25T20:36:00.951539
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (114).jpg,accident,2025-06-25T20:36:00.951548
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (115).jpg,accident,2025-06-25T20:36:00.951558
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (116).jpg,accident,2025-06-25T20:36:00.951567
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (117).jpg,accident,2025-06-25T20:36:00.951575
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (118).jpg,accident,2025-06-25T20:36:00.951583
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (119).jpg,accident,2025-06-25T20:36:00.951592
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (12).jpg,accident,2025-06-25T20:36:00.951600
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (120).jpg,accident,2025-06-25T20:36:00.951609
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (121).jpg,accident,2025-06-25T20:36:00.951617
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (122).jpg,accident,2025-06-25T20:36:00.951626
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (123).jpg,accident,2025-06-25T20:36:00.951634
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (124).jpg,accident,2025-06-25T20:36:00.951642
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (125).jpg,accident,2025-06-25T20:36:00.951651
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (126).jpg,accident,2025-06-25T20:36:00.951659
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (127).jpg,accident,2025-06-25T20:36:00.951667
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (128).jpg,accident,2025-06-25T20:36:00.951676
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (129).jpg,accident,2025-06-25T20:36:00.951684
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (13).jpg,accident,2025-06-25T20:36:00.951693
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (130).jpg,accident,2025-06-25T20:36:00.951701
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (131).jpg,accident,2025-06-25T20:36:00.951709
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (132).jpg,accident,2025-06-25T20:36:00.951718
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (133).jpg,accident,2025-06-25T20:36:00.951727
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (134).jpg,accident,2025-06-25T20:36:00.951735
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (135).jpg,accident,2025-06-25T20:36:00.951744
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (136).jpg,accident,2025-06-25T20:36:00.951752
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (137).jpg,accident,2025-06-25T20:36:00.951761
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (138).jpg,accident,2025-06-25T20:36:00.951769
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (139).jpg,accident,2025-06-25T20:36:00.951777
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (14).jpg,accident,2025-06-25T20:36:00.951785
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (140).jpg,accident,2025-06-25T20:36:00.951998
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (141).jpg,accident,2025-06-25T20:36:00.952008
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (142).jpg,accident,2025-06-25T20:36:00.952018
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (143).jpg,accident,2025-06-25T20:36:00.952027
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (144).jpg,accident,2025-06-25T20:36:00.952035
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (145).jpg,accident,2025-06-25T20:36:00.952044
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (146).jpg,accident,2025-06-25T20:36:00.952053
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (147).jpg,accident,2025-06-25T20:36:00.952061
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (148).jpg,accident,2025-06-25T20:36:00.952070
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (149).jpg,accident,2025-06-25T20:36:00.952079
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (15).jpg,accident,2025-06-25T20:36:00.952087
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (150).jpg,accident,2025-06-25T20:36:00.952095
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (151).jpg,accident,2025-06-25T20:36:00.952104
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (152).jpg,accident,2025-06-25T20:36:00.952112
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (153).jpg,accident,2025-06-25T20:36:00.952121
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (154).jpg,accident,2025-06-25T20:36:00.952129
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (155).jpg,accident,2025-06-25T20:36:00.952137
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (156).jpg,accident,2025-06-25T20:36:00.952148
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (157).jpg,accident,2025-06-25T20:36:00.952156
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (158).jpg,accident,2025-06-25T20:36:00.952167
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (159).jpg,accident,2025-06-25T20:36:00.952175
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (16).jpg,accident,2025-06-25T20:36:00.952184
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (160).jpg,accident,2025-06-25T20:36:00.952192
C:/Personal Projects/AI_Powered_traffic_management_system/data/trafficnet_dataset_v1/trafficnet_dataset_v1/train/image_2\ACCIDENT1 (161).jpg,accident,2025-06-25T20:36:00.952201
