image_path,scene_label,timestamp
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1).jpg,accident,2025-06-28T18:12:40.931204
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10).jpg,accident,2025-06-28T18:12:40.931212
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (100).jpg,accident,2025-06-28T18:12:40.931215
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1000).jpg,accident,2025-06-28T18:12:40.931217
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10000).jpg,accident,2025-06-28T18:12:40.931219
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10001).jpg,accident,2025-06-28T18:12:40.931222
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10002).jpg,accident,2025-06-28T18:12:40.931224
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10003).jpg,accident,2025-06-28T18:12:40.931226
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10004).jpg,accident,2025-06-28T18:12:40.931228
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10005).jpg,accident,2025-06-28T18:12:40.931230
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10006).jpg,accident,2025-06-28T18:12:40.931232
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10007).jpg,accident,2025-06-28T18:12:40.931234
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10008).jpg,accident,2025-06-28T18:12:40.931236
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10009).jpg,accident,2025-06-28T18:12:40.931238
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1001).jpg,accident,2025-06-28T18:12:40.931240
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10010).jpg,accident,2025-06-28T18:12:40.931242
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10011).jpg,accident,2025-06-28T18:12:40.931244
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10012).jpg,accident,2025-06-28T18:12:40.931246
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10013).jpg,accident,2025-06-28T18:12:40.931248
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10014).jpg,accident,2025-06-28T18:12:40.931250
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10015).jpg,accident,2025-06-28T18:12:40.931252
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10016).jpg,accident,2025-06-28T18:12:40.931254
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10017).jpg,accident,2025-06-28T18:12:40.931256
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10018).jpg,accident,2025-06-28T18:12:40.931258
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10019).jpg,accident,2025-06-28T18:12:40.931260
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1002).jpg,accident,2025-06-28T18:12:40.931262
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10020).jpg,accident,2025-06-28T18:12:40.931264
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10021).jpg,accident,2025-06-28T18:12:40.931266
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10022).jpg,accident,2025-06-28T18:12:40.931268
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10023).jpg,accident,2025-06-28T18:12:40.931270
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10024).jpg,accident,2025-06-28T18:12:40.931272
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10025).jpg,accident,2025-06-28T18:12:40.931273
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10026).jpg,accident,2025-06-28T18:12:40.931276
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10027).jpg,accident,2025-06-28T18:12:40.931278
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10028).jpg,accident,2025-06-28T18:12:40.931280
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10029).jpg,accident,2025-06-28T18:12:40.931282
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1003).jpg,accident,2025-06-28T18:12:40.931284
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10030).jpg,accident,2025-06-28T18:12:40.931286
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10031).jpg,accident,2025-06-28T18:12:40.931288
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10032).jpg,accident,2025-06-28T18:12:40.931290
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10033).jpg,accident,2025-06-28T18:12:40.931293
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10034).jpg,accident,2025-06-28T18:12:40.931295
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10035).jpg,accident,2025-06-28T18:12:40.931297
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10036).jpg,accident,2025-06-28T18:12:40.931299
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10037).jpg,accident,2025-06-28T18:12:40.931301
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10038).jpg,accident,2025-06-28T18:12:40.931303
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10039).jpg,accident,2025-06-28T18:12:40.931305
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1004).jpg,accident,2025-06-28T18:12:40.931307
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10040).jpg,accident,2025-06-28T18:12:40.931309
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10041).jpg,accident,2025-06-28T18:12:40.931311
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10042).jpg,accident,2025-06-28T18:12:40.931313
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10043).jpg,accident,2025-06-28T18:12:40.931315
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10044).jpg,accident,2025-06-28T18:12:40.931318
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10045).jpg,accident,2025-06-28T18:12:40.931320
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10046).jpg,accident,2025-06-28T18:12:40.931322
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10047).jpg,accident,2025-06-28T18:12:40.931324
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10048).jpg,accident,2025-06-28T18:12:40.931377
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10049).jpg,accident,2025-06-28T18:12:40.931380
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1005).jpg,accident,2025-06-28T18:12:40.931382
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10050).jpg,accident,2025-06-28T18:12:40.931384
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10051).jpg,accident,2025-06-28T18:12:40.931386
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10052).jpg,accident,2025-06-28T18:12:40.931388
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10053).jpg,accident,2025-06-28T18:12:40.931390
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10054).jpg,accident,2025-06-28T18:12:40.931392
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10055).jpg,accident,2025-06-28T18:12:40.931394
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10056).jpg,accident,2025-06-28T18:12:40.931396
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10057).jpg,accident,2025-06-28T18:12:40.931398
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10058).jpg,accident,2025-06-28T18:12:40.931400
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10059).jpg,accident,2025-06-28T18:12:40.931402
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1006).jpg,accident,2025-06-28T18:12:40.931404
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10060).jpg,accident,2025-06-28T18:12:40.931406
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10061).jpg,accident,2025-06-28T18:12:40.931408
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10062).jpg,accident,2025-06-28T18:12:40.931411
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10063).jpg,accident,2025-06-28T18:12:40.931413
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10064).jpg,accident,2025-06-28T18:12:40.931425
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10065).jpg,accident,2025-06-28T18:12:40.931427
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10066).jpg,accident,2025-06-28T18:12:40.931429
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10067).jpg,accident,2025-06-28T18:12:40.931431
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10068).jpg,accident,2025-06-28T18:12:40.931433
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10069).jpg,accident,2025-06-28T18:12:40.931435
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1007).jpg,accident,2025-06-28T18:12:40.931437
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10070).jpg,accident,2025-06-28T18:12:40.931439
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10071).jpg,accident,2025-06-28T18:12:40.931441
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10072).jpg,accident,2025-06-28T18:12:40.931443
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10073).jpg,accident,2025-06-28T18:12:40.931445
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10074).jpg,accident,2025-06-28T18:12:40.931447
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10075).jpg,accident,2025-06-28T18:12:40.931449
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10076).jpg,accident,2025-06-28T18:12:40.931451
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10077).jpg,accident,2025-06-28T18:12:40.931453
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10078).jpg,accident,2025-06-28T18:12:40.931455
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10079).jpg,accident,2025-06-28T18:12:40.931457
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1008).jpg,accident,2025-06-28T18:12:40.931459
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10080).jpg,accident,2025-06-28T18:12:40.931461
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10081).jpg,accident,2025-06-28T18:12:40.931463
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10082).jpg,accident,2025-06-28T18:12:40.931465
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10083).jpg,accident,2025-06-28T18:12:40.931467
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10084).jpg,accident,2025-06-28T18:12:40.931469
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10085).jpg,accident,2025-06-28T18:12:40.931471
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10086).jpg,accident,2025-06-28T18:12:40.931473
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10087).jpg,accident,2025-06-28T18:12:40.931475
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10088).jpg,accident,2025-06-28T18:12:40.931477
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10089).jpg,accident,2025-06-28T18:12:40.931479
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1009).jpg,accident,2025-06-28T18:12:40.931481
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10090).jpg,accident,2025-06-28T18:12:40.931483
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10091).jpg,accident,2025-06-28T18:12:40.931485
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10092).jpg,accident,2025-06-28T18:12:40.931486
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10093).jpg,accident,2025-06-28T18:12:40.931488
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10094).jpg,accident,2025-06-28T18:12:40.931490
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10095).jpg,accident,2025-06-28T18:12:40.931492
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10096).jpg,accident,2025-06-28T18:12:40.931494
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10097).jpg,accident,2025-06-28T18:12:40.931496
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10098).jpg,accident,2025-06-28T18:12:40.931498
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10099).jpg,accident,2025-06-28T18:12:40.931500
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (101).jpg,accident,2025-06-28T18:12:40.931528
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1010).jpg,accident,2025-06-28T18:12:40.931530
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10100).jpg,accident,2025-06-28T18:12:40.931532
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10101).jpg,accident,2025-06-28T18:12:40.931535
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10102).jpg,accident,2025-06-28T18:12:40.931537
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10103).jpg,accident,2025-06-28T18:12:40.931539
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10104).jpg,accident,2025-06-28T18:12:40.931541
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10105).jpg,accident,2025-06-28T18:12:40.931543
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10106).jpg,accident,2025-06-28T18:12:40.931545
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10107).jpg,accident,2025-06-28T18:12:40.931547
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10108).jpg,accident,2025-06-28T18:12:40.931549
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (10109).jpg,accident,2025-06-28T18:12:40.931551
C:/Personal Projects/AI_Powered_traffic_management_system/data/Traf_Acci_Data/image_2.1/accident (1011).jpg,accident,2025-06-28T18:12:40.931553
